id,icao,lat,long,elev
1545,UUEE,55.97,37.42,186
1546,UUDL,57.57,40.17,88
1547,UUDD,55.4,37.9,165
1548,UUBW,55.55,38.15,111
1549,UUBP,53.22,34.18,197
1550,UUBC,54.55,36.37,198
1551,UTTT,41.27,69.27,429
1552,UTST,37.28,67.32,311
1553,UTSS,39.7,66.98,665
1554,UTSK,38.8,65.77,399
1555,UTSB,39.77,64.48,225
1556,UTSA,40.12,65.17,346
1557,UTNU,41.58,60.63,97
1558,UTNN,42.48,59.63,76
1559,UTFN,40.98,71.57,477
1560,UTFF,40.37,71.73,612
1561,UTDT,37.87,68.87,443
1562,UTDL,40.22,69.7,436
1563,UTDK,37.98,69.8,675
1564,UTDD,38.53,68.82,785
1565,UTAV,39.08,63.62,187
1566,UTAT,41.77,59.83,84
1567,UTAM,37.62,61.9,218
1568,UTAK,40.05,53,83
1569,UTAA,37.98,58.37,207
1570,USTR,57.18,65.32,93
1571,USSS,56.75,60.78,222
1572,USRR,61.33,73.42,52
1573,USPP,57.92,56.02,120
1574,USNN,60.95,76.48,52
1575,USHH,61.03,69.08,46
1576,USDA,71.2,72.05,5
1577,USCM,53.4,58.75,425
1578,USCC,55.3,61.5,227
1579,URWW,48.78,44.33,131
1580,URWI,46.37,44.33,145
1581,URWA,46.28,47.98,-19
1582,URSS,43.45,39.92,4
1583,URRP,47.5,39.92,73
1584,URMT,45.12,42.12,448
1585,URMN,43.52,43.63,424
1586,URMM,44.22,43.07,318
1587,URML,42.82,47.65,4
1588,URMG,43.38,45.7,160
1589,URKK,45.03,39.15,29
1590,URKA,45,37.35,41
1591,UOOO,69.32,87.33,177
1592,UNWW,53.82,86.88,307
1593,UNTT,56.38,85.22,179
1594,UNOO,54.97,73.32,85
1595,UNNT,55.02,82.65,106
1596,UNKL,56.17,92.48,278
1597,UNEE,55.27,86.1,261
1598,UNBB,53.37,83.53,249
1599,UNAA,53.75,91.4,249
1600,UMMS,53.88,28.03,196
1601,UMKK,54.88,20.57,6
1602,UMIO,54.43,30.3,189
1603,UMGG,52.53,31.02,135
1604,ULWC,59.28,38.02,113
1605,ULPB,61.88,34.15,41
1606,ULOO,57.78,28.4,46
1607,ULMM,68.78,32.75,79
1608,ULLI,59.8,30.27,25
1609,ULAA,64.6,40.72,10
1610,UIUU,51.8,107.45,508
1611,UIII,52.27,104.37,480
1612,UIBB,56.37,101.7,485
1613,UIAA,52.02,113.32,650
1614,UHWW,43.4,132.15,11
1615,UHSS,46.88,142.72,14
1616,UHPP,53.17,158.45,33
1617,UHMM,59.92,150.72,175
1618,UHMA,64.73,177.73,53
1619,UHHH,48.52,135.18,74
1620,UHBB,50.43,127.42,185
1621,UGTB,41.67,44.95,468
1622,UGSB,41.62,41.6,32
1623,UGMS,43.05,42.75,1442
1624,UGKO,42.18,42.48,44
1625,UGAM,42.53,43.13,544
1626,UERR,62.53,114.05,352
1627,UEEE,62.08,129.77,106
1628,UDYZ,40.15,44.4,851
1629,UDSG,40.75,43.87,1515
1630,UCFO,40.6,72.8,881
1631,UCFM,43.07,74.48,632
1632,UCFL,42.58,76.7,1654
1633,UBEE,40.63,47.13,14
1634,UBBZ,39.1,46.73,489
1635,UBBY,41.57,46.67,383
1636,UBBQ,40.82,47.72,339
1637,UBBN,39.18,45.45,857
1638,UBBL,38.75,48.82,-11
1639,UBBG,40.73,46.32,333
1640,UBBF,39.6,47.2,370
1641,UBBB,40.47,50.07,94
1642,UAUU,53.2,63.55,177
1643,UATT,50.25,57.2,217
1644,UATG,47.12,51.83,-23
1645,UATE,43.87,51.1,21
1646,UASK,50.03,82.5,285
1647,UARR,51.15,51.53,33
1648,UAOO,44.7,65.6,130
1649,UAKK,49.68,73.35,532
1650,UAIT,43.32,68.55,301
1651,UAII,42.37,69.48,410
1652,UADD,42.85,71.3,663
1653,UACC,51.02,71.47,354
1654,UAAA,43.35,77.03,673
1655,TVSA,13.15,-61.15,3
1656,TUPJ,18.43,-64.53,6
1657,TTPP,10.58,-61.35,11
1658,TTCP,11.15,-60.85,13
1659,TRPG,16.78,-62.2,170
1660,TQPF,18.2,-63.05,33
1661,TNCM,18.05,-63.12,9
1662,TNCC,12.2,-68.97,10
1663,TNCA,12.5,-70,7
1664,TLPL,13.75,-60.95,13
1665,TLPC,14.02,-61,8
1666,TKPK,17.3,-62.72,62
1667,TGPY,12,-61.78,12
1668,TFFR,16.27,-61.53,6
1669,TFFF,14.6,-61,3
1670,TDPD,15.55,-61.3,13
1671,TDCF,15.33,-61.4,4
1672,TBPB,13.07,-59.48,55
1673,TAPA,17.13,-61.78,15
1674,SYMB,8.2,-59.78,13
1675,SYLT,3.37,-59.78,88
1676,SYKM,5.87,-60.62,488
1677,SYCJ,6.5,-58.25,30
1678,SUMU,-34.83,-56.02,32
1679,SULS,-34.87,-55.1,22
1680,SUDU,-33.35,-56.5,91
1681,SUCA,-34.45,-57.77,26
1682,SUAA,-34.78,-56.25,48
1683,SPYL,-4.57,-81.25,89
1684,SPUR,-5.17,-80.58,55
1685,SPTU,-12.62,-69.22,213
1686,SPTN,-18.03,-70.28,459
1687,SPST,-6.52,-76.37,282
1688,SPSO,-13.73,-76.22,8
1689,SPRU,-8.08,-79.12,23
1690,SPQU,-16.33,-71.57,2527
1691,SPQT,-3.78,-73.32,92
1692,SPPY,-6.22,-77.85,2536
1693,SPNC,-9.87,-76.2,1856
1694,SPMS,-5.9,-76.12,149
1695,SPME,-3.55,-80.4,26
1696,SPLO,-17.7,-71.35,25
1697,SPJR,-7.13,-78.48,2622
1698,SPJJ,-11.77,-75.47,3322
1699,SPJI,-7.17,-76.72,363
1700,SPJE,,,
1701,SPJC,-12.02,-77.12,26
1702,SPHO,-13.17,-74.22,2743
1703,SPHI,-6.78,-79.82,33
1704,SPGM,-9.28,-76,643
1705,SPEO,-9.17,-78.52,13
1706,SPCL,-8.38,-74.58,154
1707,SOCA,4.82,-52.37,7
1708,SMZO,5.82,-55.18,7
1709,SMJP,5.45,-55.18,14
1710,SKVV,4.17,-73.62,421
1711,SKVP,10.43,-73.25,137
1712,SKUI,5.68,-76.63,55
1713,SKUC,7.07,-70.73,127
1714,SKSP,12.58,-81.72,6
1715,SKSM,11.12,-74.22,5
1716,SKRH,11.52,-72.92,11
1717,SKRG,6.17,-75.42,2132
1718,SKPV,13.37,-81.35,7
1719,SKPS,1.4,-77.28,1798
1720,SKPE,4.82,-75.73,1341
1721,SKPC,6.18,-67.5,51
1722,SKNV,2.93,-75.28,449
1723,SKMD,6.22,-75.58,1491
1724,SKLT,-4.2,-69.93,78
1725,SKLC,7.82,-76.72,20
1726,SKIP,0.85,-77.67,2964
1727,SKIB,4.42,-75.12,899
1728,SKEJ,7.02,-73.8,123
1729,SKCL,3.53,-76.37,967
1730,SKCG,10.43,-75.52,6
1731,SKCC,7.92,-72.52,308
1732,SKBQ,10.87,-74.77,23
1733,SKBO,4.7,-74.15,2547
1734,SKBG,7.13,-73.18,1187
1735,SKAR,4.45,-75.77,1214
1736,SGES,-25.45,-54.85,256
1737,SGEN,-27.23,-55.83,202
1738,SGAS,-25.25,-57.52,83
1739,SETU,0.82,-77.7,2936
1740,SETN,0.98,-79.63,10
1741,SEST,-0.9,-89.62,13
1742,SESM,-1.5,-78.07,1056
1743,SESA,-2.2,-80.98,6
1744,SERO,-3.43,-79.98,6
1745,SERB,-1.65,-78.67,2788
1746,SEQM,-0.12,-78.35,2386
1747,SENL,0.1,-76.87,293
1748,SEMT,-0.95,-80.67,13
1749,SEMC,-2.3,-78.12,1036
1750,SELT,-0.92,-78.62,2779
1751,SEJD,-1.07,-77.58,376
1752,SEGZ,-3.42,-78.57,805
1753,SEGU,-2.15,-79.88,6
1754,SEGS,-0.45,-90.27,51
1755,SECU,-2.88,-78.98,2516
1756,SECO,-0.45,-76.98,256
1757,SECA,-4,-79.37,1237
1758,SCVM,-32.95,-71.48,136
1759,SCVD,-39.65,-73.08,19
1760,SCTN,-42.92,-72.7,8
1761,SCTE,-41.43,-73.08,85
1762,SCTB,-33.45,-70.53,655
1763,SCSN,-33.65,-71.62,73
1764,SCSE,-29.92,-71.2,141
1765,SCRM,-62.18,-58.98,45
1766,SCRG,-34.17,-70.77,488
1767,SCRD,-33.07,-71.55,342
1768,SCQP,-38.92,-72.65,97
1769,SCPQ,-42.33,-73.72,166
1770,SCPD,,,
1771,SCON,-43.13,-73.62,11
1772,SCNT,-51.67,-72.53,68
1773,SCMK,-43.9,-73.73,22
1774,SCJO,-40.6,-73.05,61
1775,SCIR,-33.67,-78.93,132
1776,SCIP,-27.17,-109.43,48
1777,SCIE,-36.77,-73.07,8
1778,SCIC,-34.97,-71.22,230
1779,SCHR,-47.23,-72.58,203
1780,SCGZ,-54.93,-67.63,21
1781,SCGE,-37.4,-72.42,122
1782,SCFT,-43.18,-71.85,345
1783,SCFM,-53.25,-70.32,28
1784,SCFA,-23.43,-70.43,113
1785,SCEL,-33.38,-70.78,478
1786,SCDA,-20.53,-70.17,41
1787,SCCY,-45.58,-72.1,301
1788,SCCI,-53,-70.85,37
1789,SCCH,-36.57,-72.02,148
1790,SCCF,-22.5,-68.9,2290
1791,SCCC,-46.58,-71.7,305
1792,SCBA,-45.92,-71.68,516
1793,SCAT,-27.27,-70.77,209
1794,SCAR,-18.35,-70.33,57
1795,SCAP,-43.62,-71.8,252
1796,SBYS,-21.97,-47.33,600
1797,SBVT,-20.25,-40.28,4
1798,SBVH,-12.68,-60.08,615
1799,SBUY,-4.88,-65.35,44
1800,SBUR,-19.77,-47.97,807
1801,SBUL,-18.87,-48.22,945
1802,SBUA,-0.15,-66.98,73
1803,SBTT,-4.25,-69.93,79
1804,SBTF,-3.37,-64.72,55
1805,SBTE,-5.05,-42.82,60
1806,SBTD,-24.68,-53.7,558
1807,SBTA,-23.03,-45.5,578
1808,SBSV,-12.9,-38.32,9
1809,SBST,-23.92,-46.3,5
1810,SBSR,-20.8,-49.4,537
1811,SBSN,-2.42,-54.78,57
1812,SBSM,-29.72,-53.7,86
1813,SBSL,-2.58,-44.23,53
1814,SBSJ,-23.22,-45.87,640
1815,SBSG,-5.77,-35.37,83
1816,SBSC,-22.92,-43.72,6
1817,SBRP,-21.13,-47.77,550
1818,SBRJ,-22.9,-43.17,6
1819,SBRF,-8.13,-34.92,10
1820,SBRB,-9.87,-67.88,190
1821,SBPV,-8.72,-63.9,89
1822,SBPS,-16.43,-39.07,44
1823,SBPP,-22.55,-55.7,650
1824,SBPL,-9.37,-40.57,386
1825,SBPK,-31.72,-52.33,17
1826,SBPJ,-10.28,-48.37,226
1827,SBPF,-28.25,-52.33,720
1828,SBPB,-2.88,-41.72,3
1829,SBPA,-30,-51.17,3
1830,SBOI,3.85,-51.78,15
1831,SBNT,-5.92,-35.25,51
1832,SBNM,-28.27,-54.17,325
1833,SBNF,-26.88,-48.65,5
1834,SBMY,-5.82,-61.28,44
1835,SBMT,-23.52,-46.63,722
1836,SBMS,-5.2,-37.37,23
1837,SBMQ,0.05,-51.07,15
1838,SBMO,-9.52,-35.78,116
1839,SBMN,-3.13,-59.98,71
1840,SBMK,-16.7,-43.82,665
1841,SBMG,-23.48,-52.02,543
1842,SBME,-22.35,-41.77,2
1843,SBMA,-5.37,-49.13,110
1844,SBLS,-19.67,-43.88,850
1845,SBLO,-23.33,-51.12,563
1846,SBLE,-12.48,-41.28,495
1847,SBLB,-22.1,-39.92,10
1848,SBKP,-23,-47.13,659
1849,SBKG,-7.27,-35.88,499
1850,SBJV,-26.22,-48.8,3
1851,SBJU,-7.22,-39.27,407
1852,SBJR,-22.98,-43.37,5
1853,SBJP,-7.15,-34.95,66
1854,SBJE,-2.9,-40.35,25
1855,SBIZ,-5.52,-47.45,131
1856,SBIP,-19.47,-42.48,240
1857,SBIL,-14.8,-39.02,9
1858,SBIH,-4.25,-56,30
1859,SBHT,-3.25,-52.27,105
1860,SBGW,-22.78,-45.2,539
1861,SBGR,-23.42,-46.47,745
1862,SBGO,-16.62,-49.22,740
1863,SBGM,-10.78,-65.28,147
1864,SBGL,-22.82,-43.25,3
1865,SBFZ,-3.77,-38.52,32
1866,SBFS,-22.02,-41.07,3
1867,SBFN,-3.85,-32.42,52
1868,SBFL,-27.67,-48.53,5
1869,SBFI,-25.6,-54.48,233
1870,SBES,-22.82,-42.1,16
1871,SBDN,-22.18,-51.43,438
1872,SBCZ,-7.58,-72.77,193
1873,SBCY,-15.65,-56.12,182
1874,SBCX,-29.2,-51.18,752
1875,SBCT,-25.52,-49.17,914
1876,SBCR,-19,-57.67,142
1877,SBCP,-21.7,-41.3,15
1878,SBCO,-29.95,-51.15,8
1879,SBCJ,-6.12,-50,634
1880,SBCH,-27.13,-52.67,639
1881,SBCF,-19.63,-43.97,825
1882,SBCC,-9.33,-54.95,540
1883,SBCB,-22.92,-42.08,3
1884,SBCA,-25,-53.5,753
1885,SBBW,-15.87,-52.38,354
1886,SBBV,2.85,-60.7,80
1887,SBBU,-22.33,-49.07,616
1888,SBBR,-15.87,-47.92,1051
1889,SBBQ,-21.25,-43.77,1106
1890,SBBI,-25.4,-49.23,928
1891,SBBH,-19.85,-43.95,799
1892,SBBG,-31.38,-54.12,182
1893,SBBE,-1.37,-48.47,16
1894,SBAX,-19.57,-46.97,989
1895,SBAT,-9.87,-56.1,287
1896,SBAR,-10.98,-37.07,4
1897,SBAN,-16.22,-48.97,1131
1898,SBAF,-22.87,-43.38,34
1899,SAZS,-41.15,-71.17,843
1900,SAZN,-38.95,-68.15,273
1901,SAZM,-37.92,-57.57,17
1902,SAWH,-54.85,-68.3,22
1903,SAWG,-51.62,-69.27,15
1904,SAWE,-53.78,-67.75,22
1905,SAVC,-45.78,-67.47,58
1906,SASJ,-24.38,-65.1,913
1907,SASA,-24.85,-65.48,1235
1908,SARP,-27.38,-55.97,123
1909,SARL,-29.68,-57.15,70
1910,SARI,-25.73,-54.47,268
1911,SARF,-26.22,-58.22,65
1912,SARE,-27.43,-59.05,52
1913,SARC,-27.43,-58.77,60
1914,SAOC,-33.08,-64.27,422
1915,SANT,-26.85,-65.1,446
1916,SAME,-32.82,-68.78,709
1917,SAEZ,-34.82,-58.53,16
1918,SADF,-34.45,-58.58,4
1919,SACO,-31.32,-64.22,474
1920,SABE,-34.57,-58.42,3
1921,RPVP,9.75,118.75,15
1922,RPVM,10.32,123.98,9
1923,RPVD,9.33,123.3,11
1924,RPMZ,6.92,122.07,8
1925,RPMD,7.12,125.65,19
1926,RPLL,14.52,121,15
1927,RPLI,18.17,120.52,5
1928,RPLC,15.18,120.55,138
1929,RPLB,14.8,120.27,19
1930,ROYN,24.47,122.97,21
1931,RORY,27.05,128.4,13
1932,RORT,24.63,124.7,9
1933,RORS,24.82,125.15,13
1934,RORK,25.93,131.32,11
1935,ROMY,24.78,125.27,38
1936,ROMD,25.83,131.25,45
1937,ROIG,24.38,124.23,37
1938,ROAH,26.18,127.65,6
1939,RKTU,36.7,127.5,46
1940,RKTN,35.88,128.65,25
1941,RKSS,37.55,126.78,18
1942,RKSM,37.43,127.12,18
1943,RKSI,37.47,126.45,7
1944,RKPK,35.17,128.93,3
1945,RKPC,33.5,126.48,23
1946,RKNY,38.07,128.67,76
1947,RJTT,35.55,139.77,5
1948,RJSM,40.7,141.37,31
1949,RJOS,34.12,134.62,3
1950,RJOO,34.78,135.43,11
1951,RJOK,33.53,133.67,7
1952,RJOH,35.48,133.25,6
1953,RJNK,36.38,136.42,7
1954,RJKI,28.32,129.92,6
1955,RJKA,28.42,129.72,7
1956,RJGG,34.87,136.8,5
1957,RJFR,33.83,131.03,9
1958,RJFM,31.87,131.43,10
1959,RJFF,33.58,130.45,7
1960,RJDB,33.75,129.78,13
1961,RJCC,42.77,141.68,19
1962,RJBB,34.43,135.25,8
1963,RJAW,24.78,141.32,116
1964,RJAH,36.17,140.42,31
1965,RJAA,35.77,140.38,36
1966,RCTP,25.07,121.22,33
1967,RCSS,25.07,121.55,8
1968,RCNN,22.93,120.2,15
1969,RCMQ,24.27,120.62,202
1970,RCKH,22.57,120.33,6
1971,PLCH,1.98,-157.35,5
1972,PAJN,58.35,-134.55,6
1973,PADG,68.03,-162.9,296
1974,OTHH,25.27,51.6,3
1975,OTBD,25.25,51.57,13
1976,OSLK,35.4,35.95,47
1977,OSKL,37.03,41.2,443
1978,OSDI,33.42,36.52,614
1979,OSAP,36.17,37.22,390
1980,ORSU,35.57,45.32,760
1981,ORNI,31.98,44.4,33
1982,ORMM,30.53,47.67,2
1983,ORER,36.23,43.97,399
1984,ORBI,33.27,44.23,37
1985,OPST,32.53,74.37,234
1986,OPSK,27.72,68.8,62
1987,OPPS,33.98,71.52,356
1988,OPNH,26.22,68.38,30
1989,OPMT,30.2,71.42,122
1990,OPKC,24.9,67.13,20
1991,OPIS,33.55,72.83,542
1992,OMSJ,25.32,55.52,33
1993,OMRK,25.62,55.93,18
1994,OMFJ,25.1,56.32,27
1995,OMDW,24.9,55.17,34
1996,OMDB,25.25,55.37,5
1997,OMAL,24.25,55.6,247
1998,OMAD,24.42,54.47,9
1999,OMAA,24.42,54.65,13
2000,OLBA,33.82,35.48,29
2001,OKKK,,,
2002,OJAQ,29.62,35.02,45
2003,OJAM,31.98,35.98,765
2004,OJAI,31.72,36,723
2005,OIZJ,25.65,57.8,6
2006,OIZI,27.23,60.72,622
2007,OIZH,29.47,60.92,1378
2008,OIZB,31.1,61.55,483
2009,OIYY,31.9,54.28,1226
2010,OITT,38.13,46.23,1353
2011,OITR,37.67,45.07,1312
2012,OITP,39.6,47.88,72
2013,OITM,37.35,46.15,1340
2014,OITL,38.33,48.42,1314
2015,OISY,30.7,51.55,1800
2016,OISS,29.53,52.58,1484
2017,OISL,27.67,54.37,804
2018,OISF,28.9,53.72,1305
2019,OINZ,36.63,53.2,8
2020,OINR,36.9,50.67,-19
2021,OINN,36.67,51.47,-25
2022,OING,36.9,54.4,0
2023,OINE,37.38,55.45,125
2024,OIMT,33.67,56.88,693
2025,OIMN,37.48,57.3,1065
2026,OIMM,36.23,59.63,995
2027,OIMJ,36.43,55.1,1285
2028,OIMB,32.9,59.28,1512
2029,OIKQ,26.75,55.9,9
2030,OIKK,30.25,56.97,1749
2031,OIKB,27.22,56.37,6
2032,OIIP,35.78,50.83,1270
2033,OIII,35.68,51.3,1182
2034,OIIE,35.42,51.15,993
2035,OIHM,34.28,48.82,1744
2036,OIHH,34.87,48.55,1742
2037,OIGG,37.33,49.6,-16
2038,OIFS,32.28,50.85,2042
2039,OIFM,32.75,51.87,1539
2040,OICS,35.25,47.02,1369
2041,OICK,33.43,48.28,1156
2042,OICI,33.58,46.4,1323
2043,OICC,34.35,47.17,1310
2044,OIBP,27.38,52.73,13
2045,OIBL,26.53,54.82,25
2046,OIBK,26.53,53.98,27
2047,OIBJ,27.82,52.35,647
2048,OIBB,28.93,50.83,15
2049,OIAW,31.33,48.77,25
2050,OIAM,30.55,49.15,7
2051,OIAH,30.33,50.83,730
2052,OIAA,30.35,48.22,4
2053,OEYN,24.13,38.07,20
2054,OEWJ,26.18,36.47,8
2055,OEWD,20.5,45.2,629
2056,OETR,31.7,38.73,854
2057,OETF,21.47,40.53,1460
2058,OETB,28.37,36.62,770
2059,OESK,29.78,40.1,671
2060,OESH,17.47,47.12,720
2061,OERR,30.9,41.13,554
2062,OERK,24.95,46.72,618
2063,OERF,29.62,43.48,441
2064,OEPA,28.33,46.12,361
2065,OENG,17.62,44.42,1210
2066,OEMN,,,
2067,OEMA,24.55,39.7,639
2068,OEKM,18.3,42.78,2038
2069,OEKJ,24.07,47.58,487
2070,OEJN,21.68,39.15,8
2071,OEJB,27.05,49.4,6
2072,OEHL,27.43,41.68,1002
2073,OEGT,31.42,37.27,512
2074,OEGS,26.3,43.77,647
2075,OEGN,16.9,42.58,5
2076,OEDR,26.27,50.17,17
2077,OEDM,24.45,44.12,922
2078,OEDF,26.43,49.82,15
2079,OEBH,19.98,42.62,1167
2080,OEBA,20.3,41.63,1659
2081,OEAO,26.48,38.12,615
2082,OEAH,25.28,49.48,180
2083,OEAB,18.23,42.65,2092
2084,OBBI,26.27,50.63,6
2085,NZWN,-41.32,174.8,12
2086,NZCH,-43.48,172.52,36
2087,NZAA,-37.02,174.8,7
2088,NWWW,-22.02,166.22,16
2089,NTAA,-17.55,-149.62,2
2090,NSFA,-13.83,-172,6
2091,NLWW,-13.23,-176.18,24
2092,NIUE,-19.07,-169.92,22
2093,NGTA,1.37,173.13,8
2094,NGFU,-8.52,179.18,2
2095,NFTV,-18.58,-173.97,71
2096,NFTL,-19.78,-174.33,10
2097,NFTF,-21.23,-175.15,38
2098,NFNA,-18.05,178.57,6
2099,NFFN,-17.75,177.45,14
2100,NCSW,,,
2101,NCRK,-10.02,-161.1,7
2102,NCRG,-21.2,-159.82,7
2103,NCPY,-9.02,-158.03,2
2104,NCPL,1.98,-157.48,3
2105,NCPK,-10.9,-165.83,5
2106,NCNS,,,
2107,NCMR,-19.85,-157.7,8
2108,NCMK,-20.15,-157.33,13
2109,NCMH,-10.38,-161,1
2110,NCMG,-21.88,-157.9,14
2111,NCAT,-19.97,-158.12,11
2112,NCAI,-18.82,-159.77,7
2113,MZBZ,17.53,-88.3,6
2114,MYSM,24.05,-74.52,5
2115,MYNN,25.03,-77.47,5
2116,MYGF,26.55,-78.7,2
2117,MYCB,24.32,-75.45,2
2118,MWCR,19.3,-81.37,4
2119,MWCB,19.68,-79.88,7
2120,MRPV,9.95,-84.15,998
2121,MROC,10,-84.22,900
2122,MRLM,9.97,-83.03,2
2123,MRLB,10.6,-85.55,79
2124,MPTO,9.05,-79.38,7
2125,MPSM,8.38,-80.13,36
2126,MPPA,8.92,-79.6,1
2127,MPMG,8.98,-79.57,6
2128,MPDA,8.4,-82.43,15
2129,MPBO,9.35,-82.25,2
2130,MNRS,11.42,-85.82,53
2131,MNPC,14.05,-83.38,10
2132,MNMG,12.15,-86.17,59
2133,MNJU,12.08,-85.37,85
2134,MNJG,13.13,-86.02,981
2135,MNCH,12.63,-87.13,70
2136,MNBL,12,-83.77,10
2137,MKJS,18.5,-77.92,3
2138,MKJP,17.93,-76.78,3
2139,MHYR,15.13,-87.13,682
2140,MHTR,15.93,-85.93,3
2141,MHTG,14.07,-87.22,1001
2142,MHTE,15.78,-87.48,7
2143,MHSR,14.78,-88.78,1087
2144,MHRO,16.32,-86.53,6
2145,MHPR,14.38,-87.62,628
2146,MHPL,15.27,-83.78,13
2147,MHNO,14.43,-89.18,790
2148,MHLM,15.45,-87.93,32
2149,MHLE,14.28,-88.17,1688
2150,MHLC,15.75,-86.85,13
2151,MHGS,14.57,-88.6,913
2152,MHCH,13.32,-87.15,58
2153,MHCA,14.87,-85.78,386
2154,MGZA,14.97,-89.53,195
2155,MGTU,,,
2156,MGRT,14.53,-91.7,209
2157,MGQZ,14.87,-91.5,2378
2158,MGPB,15.73,-88.58,6
2159,MGMT,,,
2160,MGMM,16.9,-89.87,105
2161,MGHT,15.32,-91.5,1875
2162,MGGT,14.58,-90.53,1497
2163,MGES,14.57,-89.32,948
2164,MGCB,15.48,-90.42,1323
2165,MDST,19.4,-70.6,175
2166,MDSD,18.42,-69.67,18
2167,MDPP,19.75,-70.57,9
2168,MDPC,18.57,-68.37,10
2169,MDLR,18.45,-68.92,66
2170,MDJB,18.57,-69.98,24
2171,MDCY,19.27,-69.73,4
2172,MDBH,18.25,-71.12,7
2173,MDAB,19.2,-69.43,28
2174,MBPV,21.77,-72.27,7
2175,LZZI,49.23,18.62,311
2176,LZTT,49.07,20.25,693
2177,LZPP,48.62,17.83,160
2178,LZKZ,48.67,21.23,227
2179,LZIB,48.17,17.22,129
2180,LYVR,45.13,21.32,82
2181,LYTV,42.4,18.72,3
2182,LYPG,42.37,19.25,32
2183,LYNI,43.33,21.85,197
2184,LYKV,43.82,20.58,209
2185,LYBT,44.93,20.25,78
2186,LYBE,44.82,20.28,93
2187,LWSK,41.97,21.63,232
2188,LWOH,41.18,20.75,700
2189,LUKK,46.93,28.93,102
2190,LRTR,45.82,21.33,104
2191,LRTM,46.47,24.42,289
2192,LRTC,45.07,28.72,52
2193,LRSV,47.68,26.35,406
2194,LRSM,47.7,22.88,123
2195,LRSB,45.78,24.08,442
2196,LROP,44.57,26.1,92
2197,LROD,47.03,21.88,132
2198,LRIA,47.17,27.62,71
2199,LRCV,44.32,23.88,192
2200,LRCL,46.78,23.68,313
2201,LRCK,44.37,28.48,108
2202,LRBS,44.5,26.08,91
2203,LRBM,47.67,23.47,180
2204,LRBC,46.52,26.92,183
2205,LRAR,46.18,21.27,102
2206,LQTZ,44.47,18.73,242
2207,LQSA,43.82,18.32,505
2208,LQMO,43.28,17.83,49
2209,LQBK,44.93,17.3,114
2210,LPPT,38.77,-9.13,98
2211,LPPS,33.07,-16.35,89
2212,LPPR,41.23,-8.68,64
2213,LPPD,37.73,-25.68,62
2214,LPOV,40.92,-8.65,16
2215,LPMT,38.7,-9.05,4
2216,LPMR,39.82,-8.88,50
2217,LPMA,32.7,-16.77,54
2218,LPLA,38.77,-27.1,60
2219,LPHR,38.52,-28.72,39
2220,LPFR,37.02,-7.97,3
2221,LPFL,39.45,-31.12,35
2222,LPCS,38.73,-9.35,99
2223,LPBJ,38.08,-7.93,196
2224,LPAZ,36.97,-25.17,96
2225,LOAV,47.97,16.27,232
2226,LOAN,47.85,16.25,266
2227,LKTB,49.15,16.68,233
2228,LKPR,50.1,14.27,364
2229,LKPD,50.02,15.73,226
2230,LKNA,49.17,16.12,460
2231,LKMT,49.68,18.12,251
2232,LKLN,49.68,13.27,353
2233,LKKV,50.2,12.92,600
2234,LKKB,50.12,14.53,281
2235,LKCV,49.93,15.38,234
2236,LJPZ,45.47,13.62,2
2237,LJMB,46.47,15.67,263
2238,LJLJ,46.22,14.47,363
2239,LJCE,45.9,15.52,153
2240,LHBP,47.43,19.27,141
2241,LFYR,47.32,1.68,83
2242,LFVP,46.77,-56.18,5
2243,LFTW,43.75,4.42,91
2244,LFTH,43.1,6.15,3
2245,LFSX,47.77,6.35,266
2246,LFST,48.53,7.63,149
2247,LFSO,48.57,5.97,328
2248,LFSN,48.68,6.22,214
2249,LFSM,47.48,6.78,317
2250,LFSL,45.03,1.48,300
2251,LFSI,48.62,4.9,136
2252,LFSG,48.33,6.07,320
2253,LFSD,47.27,5.08,218
2254,LFSB,47.6,7.52,262
2255,LFRZ,47.32,-2.17,2
2256,LFRV,47.72,-2.72,132
2257,LFRU,48.6,-3.82,85
2258,LFRT,48.53,-2.85,134
2259,LFRS,47.17,-1.6,26
2260,LFRQ,47.97,-4.17,94
2261,LFRO,48.75,-3.47,86
2262,LFRN,48.07,-1.73,35
2263,LFRM,47.95,0.2,51
2264,LFRL,48.27,-4.43,80
2265,LFRK,49.17,-0.45,66
2266,LFRJ,48.52,-4.15,109
2267,LFRI,46.7,-1.37,89
2268,LFRH,47.77,-3.45,46
2269,LFRG,49.37,0.15,146
2270,LFRD,48.58,-2.07,56
2271,LFRC,49.63,-1.47,137
2272,LFRB,48.45,-4.42,91
2273,LFQQ,50.57,3.1,43
2274,LFQG,47,3.1,172
2275,LFQB,48.32,4.02,107
2276,LFQA,49.2,4.15,92
2277,LFPV,48.77,2.2,171
2278,LFPT,49.1,2.03,91
2279,LFPO,48.72,2.38,88
2280,LFPN,48.75,2.12,152
2281,LFPM,48.62,2.67,91
2282,LFPG,49.02,2.53,107
2283,LFPB,48.97,2.42,50
2284,LFOZ,47.9,2.17,121
2285,LFOV,48.03,-0.75,99
2286,LFOT,47.43,0.72,107
2287,LFOP,49.37,1.17,149
2288,LFOK,48.78,4.15,166
2289,LFOJ,47.98,1.75,122
2290,LFOH,49.52,0.08,87
2291,LFOE,49.02,1.22,132
2292,LFOB,49.47,2.12,99
