id,icao,lat,long,elev
322,KSJS,37.75,-82.63,359
323,KSIK,36.9,-89.57,95
324,KSHL,43.22,-95.83,430
325,KSHD,38.27,-78.9,360
326,KSGS,44.87,-93.03,250
327,KSFQ,36.68,-76.6,19
328,KSEZ,34.85,-111.78,1455
329,KSEP,32.22,-98.17,399
330,KSEM,32.35,-86.98,48
331,KSEF,27.45,-81.35,17
332,KSDC,43.23,-77.12,127
333,KSDA,40.75,-95.42,293
334,KSCX,36.45,-84.58,462
335,KSCD,33.17,-86.3,164
336,KSBS,40.52,-106.87,2097
337,KSBO,32.62,-82.37,98
338,KSAZ,46.37,-94.8,391
339,KSAR,38.15,-89.7,162
340,KSAA,41.45,-106.8,2093
341,KS71,48.6,-109.25,736
342,KS59,48.28,-115.48,793
343,KS52,48.42,-120.15,517
344,KS39,44.28,-120.9,987
345,KS33,44.67,-121.15,739
346,KS32,47.42,-98.1,435
347,KS25,47.8,-103.25,632
348,KS24,41.3,-83.03,203
349,KS21,43.88,-121.45,1269
350,KRZT,39.43,-83.02,217
351,KRZR,35.22,-84.8,259
352,KRZN,45.82,-92.37,301
353,KRZL,40.95,-87.18,210
354,KRYW,30.5,-97.97,370
355,KRWV,30.52,-96.7,116
356,KRVL,40.68,-77.63,250
357,KRVJ,32.07,-82.15,60
358,KRVF,45.53,-112.3,1445
359,KRUG,48.38,-100.02,469
360,KRTS,39.67,-119.88,1537
361,KRSN,32.52,-92.58,86
362,KRRT,48.93,-95.33,327
363,KRRL,45.2,-89.72,397
364,KRQO,35.47,-98,431
365,KRQB,43.72,-85.5,282
366,KRPJ,41.88,-89.08,234
367,KRPH,33.12,-98.55,341
368,KRPD,45.42,-91.77,334
369,KROX,48.85,-95.7,320
370,KROS,45.7,-92.95,282
371,KRNM,33.03,-116.92,423
372,KRNH,45.15,-92.53,302
373,KRND,29.53,-98.27,224
374,KRNC,35.7,-85.85,310
375,KRMY,42.25,-84.95,285
376,KRMN,38.4,-77.45,50
377,KRLD,46.3,-119.3,118
378,KRKW,35.92,-84.68,505
379,KRKR,35.02,-94.62,136
380,KRID,39.75,-84.85,346
381,KRGK,44.58,-92.48,238
382,KRGA,37.63,-84.33,301
383,KRFI,32.15,-94.85,133
384,KREG,30.17,-90.93,3
385,KRDK,41.02,-95.27,317
386,KRCZ,34.88,-79.77,110
387,KRCX,45.5,-91,373
388,KRCV,37.72,-106.35,2418
389,KRCR,41.07,-86.18,240
390,KRCM,38.78,-93.8,242
391,KRCE,35.48,-97.82,412
392,KRBW,32.92,-80.63,30
393,KRBO,27.78,-97.68,24
394,KRAW,38.35,-93.35,285
395,KRAS,27.82,-97.08,3
396,KPZQ,45.4,-83.82,199
397,KPYX,36.42,-100.75,890
398,KPXE,32.52,-83.77,126
399,KPWD,48.78,-104.52,690
400,KPWC,46.72,-94.38,394
401,KPVW,34.17,-101.72,1029
402,KPVJ,34.72,-97.22,287
403,KPVF,38.72,-120.75,788
404,KPVB,42.68,-90.43,311
405,KPUJ,33.92,-84.93,385
406,KPTT,37.7,-98.75,594
407,KPTS,37.45,-94.73,286
408,KPTD,44.68,-74.95,144
409,KPTB,37.17,-77.52,56
410,KPSO,37.28,-107.05,2332
411,KPSN,31.78,-95.7,124
412,KPSK,37.13,-80.67,629
413,KPRS,29.63,-104.35,890
414,KPRO,41.83,-94.17,308
415,KPRG,39.7,-87.67,197
416,KPPQ,39.63,-90.78,215
417,KPPO,41.57,-86.73,242
418,KPPA,35.62,-101,989
419,KPOY,44.87,-108.8,1547
420,KPOV,41.22,-81.25,363
421,KPNM,45.53,-93.6,298
422,KPNA,42.8,-109.8,2158
423,KPMV,40.95,-95.92,365
424,KPMU,34.37,-89.9,67
425,KPMH,38.83,-82.85,200
426,KPLU,47.1,-122.28,164
427,KPLR,33.57,-86.25,145
428,KPKV,28.65,-96.68,8
429,KPJC,40.8,-80.17,273
430,KPIM,32.83,-84.88,274
431,KPHT,36.33,-88.38,172
432,KPEZ,28.95,-98.52,126
433,KPEX,45.37,-94.73,359
434,KPEQ,31.38,-103.52,794
435,KPEA,41.4,-92.95,264
436,KPDC,43.02,-91.12,201
437,KPCZ,44.33,-89.02,248
438,KPCW,41.52,-82.87,179
439,KPCM,28,-82.17,43
440,KPCD,37.87,-89.87,112
441,KPBX,37.57,-82.57,447
442,KPBH,45.7,-90.4,445
443,KPAN,34.25,-111.33,1575
444,KP52,34.73,-112.03,1085
445,KP08,32.93,-111.43,477
446,KOZW,42.62,-83.98,288
447,KOZS,37.97,-92.68,321
448,KOZA,30.73,-101.2,721
449,KOYM,41.42,-78.5,582
450,KOXV,41.28,-93.12,280
451,KOXI,41.33,-86.67,208
452,KOXD,39.5,-84.78,317
453,KOWX,41.03,-83.98,232
454,KOWI,38.53,-95.25,292
455,KOVL,44.78,-95.03,329
456,KOSC,44.45,-83.4,191
457,KOSA,33.1,-94.97,108
458,KORS,48.7,-122.92,7
459,KORK,34.83,-92.25,166
460,KORG,30.07,-93.8,2
461,KOQN,39.98,-75.58,141
462,KOPN,32.95,-84.27,241
463,KOPL,30.55,-92.1,22
464,KOOA,41.23,-92.5,256
465,KONZ,42.1,-83.15,179
466,KONP,44.57,-124.05,43
467,KONM,34.02,-106.9,1467
468,KONL,42.47,-98.68,619
469,KONA,44.07,-91.7,200
470,KOMH,38.25,-78.05,136
471,KOLZ,42.67,-91.97,328
472,KOLG,46.3,-91.82,334
473,KOLE,42.23,-78.37,651
474,KOKZ,32.97,-82.83,128
475,KOKV,39.13,-78.15,213
476,KOKM,35.67,-95.95,215
477,KOJA,35.55,-98.67,490
478,KOIN,39.83,-100.53,810
479,KOIC,42.57,-75.52,311
480,KOGS,44.67,-75.47,88
481,KOGA,41.12,-101.77,991
482,KOEO,45.32,-92.7,269
